name,WKT,
Kaushambi,POINT (81.4031707 25.361054),"""Kaushambi"":""POINT (81.4031707 25.361054)"","
Sanchi (MP),POINT (77.7418238 23.4873393),"""Sanchi (MP)"":""POINT (77.7418238 23.4873393)"","
"Nigali Sagar (Kapilavastu, Nepal)",POINT (83.0957966 27.5948869),"""Nigali Sagar (Kapilavastu, Nepal)"":""POINT (83.0957966 27.5948869)"","
"Rummindei (Lumbini, Nepal)",POINT (83.2787742 27.4996695),"""Rummindei (Lumbini, Nepal)"":""POINT (83.2787742 27.4996695)"","
"Rampurwa (West Champaran, BR)",POINT (83.902951 27.3784845),"""Rampurwa (West Champaran, BR)"":""POINT (83.902951 27.3784845)"","
Lauriya Nandangarh,POINT (84.3942765 26.9880995),"""Lauriya Nandangarh"":""POINT (84.3942765 26.9880995)"","
Lauriya Areraj,POINT (84.6475966 26.5502468),"""Lauriya Areraj"":""POINT (84.6475966 26.5502468)"","
"Sarnath (Varanasi, UP)",POINT (83.0252136 25.3715564),"""Sarnath (Varanasi, UP)"":""POINT (83.0252136 25.3715564)"","
Ahraura (UP),POINT (83.0159192 25.0163028),"""Ahraura (UP)"":""POINT (83.0159192 25.0163028)"","
Sahasram (Bihar),POINT (84.01428 24.95388),"""Sahasram (Bihar)"":""POINT (84.01428 24.95388)"","
Pataliputra,POINT (85.1375645 25.5940947),"""Pataliputra"":""POINT (85.1375645 25.5940947)"","
